Tenure in Months,Offer,Monthly Charge,Total Charges,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Contract,Paperless Billing,Customer Status,Churn Category
9,Offer B,65.6,593.3,Yes,No,Yes,No,Yes,One Year,Yes,Stayed,Competitor
9,Offer B,-4.0,542.4,Yes,No,No,No,No,Month-to-Month,No,Stayed,Competitor
4,Offer E,73.9,280.85,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Competitor
13,Offer D,98.0,1237.85,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Dissatisfaction
3,Offer B,83.9,267.4,Yes,No,No,No,Yes,Month-to-Month,Yes,Churned,Dissatisfaction
9,Offer E,69.4,571.45,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
71,Offer A,109.7,7904.25,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
63,Offer B,84.65,5377.8,Yes,Yes,No,No,Yes,Two Year,Yes,Stayed,Competitor
7,Offer E,48.2,340.35,Yes,Yes,No,No,No,Two Year,Yes,Stayed,Competitor
65,Offer B,90.45,5957.9,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
54,Offer B,45.2,2460.55,Yes,Yes,No,No,Yes,Two Year,No,Stayed,Competitor
72,Offer B,116.8,8456.75,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
5,Offer B,68.95,351.5,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
72,Offer A,101.3,7261.25,Yes,Yes,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
56,Offer B,45.05,2560.1,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
71,Offer A,95.75,6849.4,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
34,Offer B,61.25,1993.2,Yes,Yes,No,Yes,Yes,One Year,No,Stayed,Competitor
1,Offer E,72.1,72.1,Yes,No,No,No,No,One Year,Yes,Joined,Competitor
45,Offer B,62.7,2791.5,Yes,Yes,No,Yes,No,One Year,No,Churned,Dissatisfaction
1,Offer B,25.1,25.1,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
50,Offer B,25.2,1306.3,No,No,No,No,No,One Year,No,Stayed,Competitor
13,Offer B,94.1,1215.6,Yes,No,Yes,Yes,No,Month-to-Month,No,Churned,Other
23,Offer D,83.75,1849.95,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
3,Offer B,19.85,57.2,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
4,Offer E,20.35,76.35,No,No,No,No,No,Month-to-Month,No,Churned,Price
1,Offer B,30.5,30.5,Yes,Yes,No,No,No,Month-to-Month,No,Churned,Attitude
55,Offer B,103.7,5656.75,Yes,No,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
54,Offer B,20.4,1090.6,No,No,No,No,No,Two Year,No,Stayed,Competitor
26,Offer C,19.6,471.85,No,No,No,No,No,One Year,Yes,Stayed,Competitor
69,Offer B,19.7,1396.9,No,No,No,No,No,Two Year,No,Stayed,Competitor
37,Offer C,91.2,3247.55,Yes,No,No,No,No,One Year,No,Stayed,Competitor
49,Offer B,20.45,900.9,No,No,No,No,No,One Year,No,Stayed,Competitor
66,Offer B,-2.0,7942.15,Yes,Yes,Yes,Yes,Yes,One Year,No,Stayed,Competitor
67,Offer B,20.55,1343.4,No,No,No,No,No,One Year,No,Stayed,Competitor
20,Offer B,39.4,825.4,Yes,Yes,No,Yes,Yes,Two Year,Yes,Stayed,Competitor
43,Offer B,25.1,1070.15,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
55,Offer B,89.8,4959.6,Yes,Yes,No,No,No,Month-to-Month,Yes,Stayed,Competitor
59,Offer B,94.75,5597.65,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Stayed,Competitor
12,Offer B,20.3,224.5,No,No,No,No,No,Two Year,No,Stayed,Competitor
27,Offer C,75.75,1929.0,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
2,Offer B,49.25,91.1,Yes,Yes,No,No,No,Month-to-Month,Yes,Churned,Competitor
27,Offer C,78.2,2078.95,Yes,No,Yes,Yes,Yes,One Year,No,Stayed,Competitor
25,Offer B,25.5,630.6,No,No,No,No,No,Two Year,No,Stayed,Competitor
25,Offer B,61.6,1611.0,Yes,Yes,Yes,Yes,No,One Year,Yes,Stayed,Competitor
29,Offer B,45.0,1242.45,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Stayed,Competitor
72,Offer B,85.15,6316.2,Yes,No,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
14,Offer B,51.45,727.85,Yes,No,Yes,No,No,One Year,No,Stayed,Competitor
35,Offer C,99.25,3532.0,Yes,No,No,Yes,Yes,One Year,Yes,Stayed,Competitor
1,Offer E,44.3,44.3,Yes,No,No,No,No,Month-to-Month,Yes,Joined,Competitor
29,Offer B,94.2,2607.6,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
64,Offer B,81.25,5567.55,Yes,Yes,Yes,Yes,Yes,One Year,No,Stayed,Competitor
39,Offer B,99.95,3767.4,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
40,Offer B,91.55,3673.6,Yes,No,No,No,No,Two Year,Yes,Stayed,Competitor
40,Offer B,104.5,4036.85,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Churned,Competitor
11,Offer D,95.0,1120.3,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Dissatisfaction
6,Offer E,50.35,314.55,Yes,No,No,No,No,Month-to-Month,No,Stayed,Competitor
30,Offer B,64.5,1888.45,Yes,Yes,No,No,No,Month-to-Month,Yes,Stayed,Competitor
27,Offer B,19.4,529.8,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
70,Offer B,104.8,7308.95,Yes,No,Yes,Yes,No,One Year,Yes,Stayed,Competitor
57,Offer B,109.4,6252.7,Yes,No,Yes,Yes,Yes,One Year,Yes,Stayed,Competitor
58,Offer B,50.3,2878.55,Yes,No,No,Yes,No,One Year,No,Stayed,Competitor
16,Offer B,71.4,1212.1,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Stayed,Competitor
69,Offer A,116.0,8182.85,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
1,Offer E,19.85,19.85,No,No,No,No,No,Month-to-Month,Yes,Churned,Attitude
1,Offer B,99.75,99.75,Yes,No,No,Yes,No,Month-to-Month,Yes,Churned,Competitor
32,Offer C,93.95,2861.45,Yes,No,Yes,No,No,One Year,Yes,Stayed,Competitor
16,Offer D,90.8,1442.2,Yes,No,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
49,Offer B,84.35,4059.35,Yes,Yes,No,Yes,Yes,One Year,No,Churned,Competitor
71,Offer A,58.25,4145.9,Yes,No,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
33,Offer B,107.55,3645.5,Yes,No,Yes,Yes,No,Month-to-Month,No,Stayed,Competitor
10,Offer D,19.95,187.75,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
21,Offer B,111.2,2317.1,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Churned,Attitude
37,Offer B,40.2,1448.8,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Churned,Competitor
26,Offer B,85.8,2193.65,Yes,Yes,No,No,No,Month-to-Month,Yes,Stayed,Competitor
50,Offer B,35.4,1748.9,Yes,Yes,No,No,Yes,One Year,Yes,Stayed,Competitor
7,Offer B,73.85,511.25,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
61,Offer B,88.1,5526.75,Yes,Yes,Yes,Yes,Yes,Two Year,No,Stayed,Competitor
15,Offer D,101.35,1553.95,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Churned,Attitude
26,Offer B,45.8,1147.0,Yes,Yes,No,No,Yes,Month-to-Month,No,Stayed,Competitor
72,Offer B,94.65,6747.35,Yes,No,No,Yes,No,Month-to-Month,Yes,Stayed,Competitor
44,Offer B,20.5,865.05,No,No,No,No,No,One Year,Yes,Stayed,Competitor
66,Offer A,89.4,5976.9,Yes,No,Yes,No,No,Month-to-Month,No,Stayed,Competitor
2,Offer B,86.25,181.65,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Churned,Competitor
44,Offer B,74.85,3268.05,Yes,No,No,Yes,Yes,One Year,No,Stayed,Competitor
12,Offer D,89.75,1052.4,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Attitude
69,Offer B,109.95,7634.25,Yes,No,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
1,Offer E,80.2,80.2,Yes,No,Yes,No,No,Month-to-Month,Yes,Churned,Price
3,Offer E,19.85,63.75,No,No,No,No,No,Month-to-Month,No,Churned,Price
2,Offer B,90.35,190.5,Yes,Yes,Yes,No,No,Month-to-Month,No,Joined,Competitor
27,Offer B,86.45,2401.05,Yes,No,Yes,Yes,No,Two Year,Yes,Stayed,Competitor
26,Offer C,20.3,511.25,No,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
39,Offer B,101.25,3949.15,Yes,No,No,No,Yes,Month-to-Month,Yes,Stayed,Competitor
25,Offer B,94.7,2362.1,Yes,No,No,No,No,Month-to-Month,Yes,Churned,Competitor
1,Offer E,70.9,70.9,Yes,No,No,No,No,Month-to-Month,No,Churned,Competitor
22,Offer D,54.2,1152.7,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Churned,Attitude
72,Offer A,114.9,8496.7,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Stayed,Competitor
24,Offer B,19.55,470.2,No,No,No,No,No,Two Year,Yes,Stayed,Competitor
19,Offer B,86.85,1564.4,Yes,No,No,No,No,Month-to-Month,Yes,Stayed,Competitor
71,Offer B,25.35,1847.55,No,No,No,No,No,Two Year,No,Stayed,Competitor
33,Offer B,109.9,3694.7,Yes,Yes,No,Yes,Yes,One Year,Yes,Stayed,Competitor
3,Offer B,19.95,58.0,No,No,No,No,No,Month-to-Month,No,Joined,Competitor
